"usm","lsystem","mix","damier","scenario","Mng","seed","sd","name","keysc","surfsolref","nbplt","nbplt1","nbplt2","Ytot","densite","densite1","YEsp1","densite2","YEsp2","Semprop1","Yprop1","Yprop2","QNfix","QNupttot","QNuptleg","QNtot","Pari1","Pari2","Surf1","Surf2","PhiSurf1","PhiSurf2","PhiMass1","PhiMass2","LRac1","LRac2","MRac1","MRac2","UptNLen1","UptNLen2","UptNMass1","UptNMass2"
"50010","l-egume","Fix2-nonFixSimTest","damier6","55-1","Lusignan30IrrN2",1,"-","toto_50010_l-egume_Fix2-nonFixSimTest_damier6_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.25593481,64,48,16,2140.8249738154,250.063678324961,187.547758743721,1985.62864322592,62.5159195812402,155.196330589478,0.75,0.927506296643725,0.0724937033562748,21.4422696878599,32.062278033927,27.9357386915469,53.5045477217869,19.2890622290188,0.869439662768843,12.8911359764267,0.973697162985578,1.49630430276095,0.89292615385056,0.00971433520302219,0.00560219213602808,8595.83768879771,567.879054533668,444.543614610005,44.2519493456329,0.000480062501384573,0.0491931133372876,0.00928264225772338,0.631288318472631
"50011","l-egume","Fix2-nonFixSimTest","damier8","55-1","Lusignan30IrrN2",1,"-","toto_50011_l-egume_Fix2-nonFixSimTest_damier8_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.25593481,64,64,0,2204.64540433213,250.063678324961,250.063678324961,2204.64540433213,0,0,1,1,0,21.2545666789019,34.4097435491307,34.4097435491307,55.6643102280326,20.8210726147151,0,14.7963789709843,0,1.4071735155967,0,0.00944418207744501,0,9363.74070686051,0,506.301484423141,0,0,3440974354913.07,0,3440974354913.07
"50012","l-egume","Fix2-nonFixSimTest","damier0","55-1","Lusignan30IrrN2",1,"-","toto_50012_l-egume_Fix2-nonFixSimTest_damier0_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.64,64,0,64,1497.82064947379,100,0,0,100,1497.82064947379,0,0,1,0,31.7708344798445,0,31.7708344798445,0,17.2837488321271,0,9.45737870972262,0,1.82754115729132,0,0.0115392646230369,0,6837.5116035071,0,330.715700298645,3177083447984.45,0,3177083447984.45,0
"50013","l-egume","Fix2-nonFixSimTest","damier4","55-1","Lusignan30IrrN2",1,"-","toto_50013_l-egume_Fix2-nonFixSimTest_damier4_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.64,64,32,32,1790.36615335803,100,50,1099.46525453152,50,690.900898826509,0.5,0.614100781825746,0.385899218174254,13.154768875555,31.2982539710627,14.8722259094956,44.4530228466176,12.0952185281688,6.84299247851258,6.61769627547781,4.29831350968375,1.82770831791873,1.59201800033431,0.0110010011488016,0.00990444865556734,4339.6597832225,2903.69048789892,227.738284841609,149.733047773064,0.00378509580983087,0.00512183580566707,0.0721267751401156,0.0993249394885424
"50014","l-egume","Fix2-nonFixSimTest","damier8","55-1","Lusignan30IrrN2",1,"-","toto_50014_l-egume_Fix2-nonFixSimTest_damier8_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.64,64,64,0,1846.23230678099,100,100,1846.23230678099,0,0,1,1,0,14.3090233475351,32.521230433257,32.521230433257,46.8302537807921,19.2170080967667,0,11.7846119974433,0,1.63068653434832,0,0.0104087703514801,0,7631.7696700736,0,387.677317612512,0,0,3252123043325.7,0,3252123043325.7
"50015","l-egume","Fix2-nonFixSimTest","homogeneous0","55-1","Lusignan30IrrN2",1,"-","toto_50015_l-egume_Fix2-nonFixSimTest_homogeneous0_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.49,4,4,0,647.508742718676,8.16326530612245,8.16326530612245,647.508742718676,0,0,1,1,0,0.188829089585099,20.8633018187116,20.8633018187116,21.0521309082967,8.51322926780171,0,3.60828887467848,0,2.35935357823498,0,0.0131476669057121,0,967.214195789487,0,120.575897326723,0,0,2086330181871.16,0,2086330181871.16
"50017","l-egume","Fix2-nonFixSimTest","damier1","55-1","Lusignan30IrrN2",1,"-","toto_50017_l-egume_Fix2-nonFixSimTest_damier1_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.13995081,64,8,56,1831.36835780656,457.303534005984,57.162941750748,1184.22317559637,400.140592255236,647.145182210189,0.125,0.646632978312851,0.353367021687149,17.2379859347032,28.3144976167458,12.2952215158493,45.552483551449,13.3852723528902,6.77353427327477,7.04980273955924,5.72533456692583,1.89867331716405,1.1830809525774,0.0113029981415026,0.0104667923975592,4641.5303052554,2576.42556517048,246.729945442049,218.003430007412,0.00345129193334331,0.00477220133275448,0.0649263552999018,0.0563992113125501
"50018","l-egume","Fix2-nonFixSimTest","damier3","55-1","Lusignan30IrrN2",1,"-","toto_50018_l-egume_Fix2-nonFixSimTest_damier3_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.13995081,64,40,24,2235.41680060367,457.303534005984,285.81470875374,2093.14903261882,171.488825252244,142.267767984853,0.625,0.936357386261733,0.0636426137382673,23.6881760105865,34.0419129697673,29.3010816532286,57.7300889803539,20.5825704455491,0.792490891505876,14.8911900031078,1.30654729212641,1.38219782577751,0.606553544808952,0.00983330385213774,0.00557041769004344,9107.94608437933,586.65876718976,492.855064179099,59.451244972175,0.000520515961844521,0.0499456980649714,0.00961911860322466,0.492859008536112
"50019","l-egume","Fix2-nonFixSimTest","damier4","55-1","Lusignan30IrrN2",1,"-","toto_50019_l-egume_Fix2-nonFixSimTest_damier4_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.09998244,64,32,32,2224.89141714015,640.112403738096,320.056201869048,2009.32152029428,320.056201869048,215.569896845869,0.5,0.903109924742772,0.0968900752572276,25.6358999866045,33.0104575875362,25.6176441496071,58.6463575741407,20.5155734407258,1.18761797636762,14.3688536121442,2.1800327763085,1.42778080941491,0.544770697609967,0.0102101994297662,0.00550920139474161,8784.79952331491,866.480248938032,484.075408328407,94.9405698021912,0.000841546061274197,0.0295651795652631,0.0152720285119576,0.269828211511462
"50020","l-egume","Fix2-nonFixSimTest","damier5","55-1","Lusignan30IrrN2",1,"-","toto_50020_l-egume_Fix2-nonFixSimTest_damier5_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.13995081,64,24,40,2088.22786139886,457.303534005984,171.488825252244,1767.00553492323,285.81470875374,321.222326475632,0.375,0.846174676426139,0.153825323573861,22.8586751326202,30.6304050865043,21.1590996631765,53.4890802191245,18.6015986319542,2.05279443880346,12.2503579216763,2.56433794605554,1.5184534811856,0.800516344561005,0.0105271875295865,0.00639057210414396,7790.49856041659,1246.74174070163,398.21585353801,120.62846689611,0.00121575087266575,0.0169715178151239,0.0237843504701741,0.17540718379019
